C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
F1:1
H1:1
H10:1
H11:1
H12:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
L1:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
REF**:41
SW1:2
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW15:1
SW16:1
SW19:1
SW2:2
SW20:1
SW3:2
SW4:2
SW5:2
SW6:2
SW7:1
SW8:1
SW9:1
U1:1
U2:1
U3:1
U4:1
U?:1
USB1:1
USB2:1
Y1:1
